품목,세부,마트,"무게 (g, ml)",수량 (EA),단가 (원),가격 (원),"단가 (100 g, ml당 가격)",날짜
신라면 소컵,농심 신라면 소컵 6입,킴스클럽,,6,665.1666667,"3,991",#DIV/0!,20250215
튀김우동 소컵,농심 튀김우동 소컵 6입,킴스클럽,,6,665.1666667,"3,991",#DIV/0!,20250215
시금치,남해시금치 200G 의령,킴스클럽,200,1,"1,575","1,575",787.5,20250215
목심,오아시스 목심 구이용,킴스클럽,,1,"9,900","9,900",#DIV/0!,20250215
상추혼합,오아시스 무농약 상추혼합 120G,킴스클럽,120,1,"3,200","3,200",2666.666667,20250215
마라떡볶이,애슐리 토핑듬뿍 마라떡볶이 590g,킴스클럽,590,2,"3,990","7,980",676.2711864,20250215
우유,오프라이스 연세 목장우유 900ml,킴스클럽,900,2,"1,600","3,200",177.7777778,20250219
포도주스,미닛메이드 포도 1.5L,킴스클럽,1500,1,"1,790","1,790",119.3333333,20250220
테라,테라 1L 페트,킴스클럽,1000,2,"4,090","8,180",409,20250220
참이슬,참이슬 400ml 페트,킴스클럽,400,6,"1,490","8,940",372.5,20250220
사과,오아시스 GAP 희여골 못난이사과 1.5,킴스클럽,1500,1,"8,990","8,990",599.3333333,20250220
팥빙수,롯데 일품팥빙수 240ml,킴스클럽,240,2,"1,790","3,580",745.8333333,20250222
샐러드,유러피안 혼합샐러드 기획,킴스클럽,,1,"3,990","3,990",#DIV/0!,20250222
우유,킴스X덴마크 속편하게 락토프리 우유,킴스클럽,,1,"1,813","1,813",#DIV/0!,20250222
아이스크림,롯데 아이스크림 10개 묶음,킴스클럽,,1,"5,990","5,990",#DIV/0!,20250222
팽이버섯,팽이버섯 봉 (국산),킴스클럽,,1,420,420,#DIV/0!,20250222
양파,양파1.5kg(중),킴스클럽,1500,1,"5,290","5,290",352.6666667,20250222
시금치,오아시스 남해시금치 200G 의령,킴스클럽,200,1,"2,520","2,520",1260,20250226
사골곰탕,비비고 사골곰탕 500g,킴스클럽,500,4,"1,000","4,000",200,20250226
비피더스,동원 비피더스명장 125ml*12,킴스클럽,1500,1,"3,990","3,990",266,20250226
식초,오뚜기 사과식초 900ml,킴스클럽,900,1,"2,790","2,790",310,20250226
우유,갓밀크 저지망우유 1L,킴스클럽,1000,1,"1,790","1,790",179,20250226
우유,갓밀크 1L,킴스클럽,1000,1,"1,790","1,790",179,20250226
오렌지,미국 선키스트 오렌지 행사용 10개,킴스클럽,,10,990,"9,900",#DIV/0!,20250301
우유,동원 대니쉬 건강한 우유 900ml *2,킴스클럽,900,1,"1,995","3,990",221.6666667,20250301
치킨너겟,목우촌 주부9단 골든치킨너겟 1kg,킴스클럽,1000,1,"9,990","9,990",999,20250301
대파,실속대파,킴스클럽,,1,"1,990","1,990",#DIV/0!,20250301
딸기,딸기 500g 그린웰팜 국산,킴스클럽,500,1,"8,393","8,393",1678.6,20250305
로제 스파게티 소스,청정원 로제 스파게티소스 600g,킴스클럽,600,1,"3,990","3,990",665,20250305
사과,오아시스 GAP 희여골 못난이사과 1.5,킴스클럽,1500,1,"8,990","8,990",599.3333333,20250305
물만두,오프라이스 물만두 450g,킴스클럽,450,1,"2,990","2,990",664.4444444,20250309
참치회,참치회,킴스클럽,,1,"19,990","19,990",#DIV/0!,20250309
회,회,킴스클럽,,1,"13,990","13,990",#DIV/0!,20250309
우유,서울우유 후레쉬밀크 900ml,킴스클럽,900,2,"1,895","3,790",210.5555556,20250309
딸기,산청 진주 금실 딸기 500g팩,킴스클럽,500,1,"7,990","7,990",1598,20250314
사과,대용량 못난이 사과,킴스클럽,,1,"10,990","10,990",#DIV/0!,20250314
청양고추,청양고추 120g (봉),킴스클럽,120,1,"3,937","3,937",3280.833333,20250315
바이오플레,빙그레 바이오플레 130ml * 12,킴스클럽,1560,1,"1,470","1,470",94.23076923,20250315
우유,동원 대니쉬 건강한 우유 900ml *2,킴스클럽,900,1,"2,495","4,990",277.2222222,20250315
아이스크림,롯데 아이스크림 10개 묶음,킴스클럽,,1,"3,590","3,590",#DIV/0!,20250315
물만두,오프라이스 물만두 450g,킴스클럽,405,1,"2,990","2,990",738.2716049,20250315
